ID;Workclass;education;marital-status;occupation;relationship;race;sex
7235;State-gov;HS-grad;Married-spouse-absent;Other-service;Unmarried;Black;Female
7236;State-gov;Bachelors;Divorced;Protective-serv;Not-in-family;White;Female
7237;Private;10th;Divorced;Transport-moving;Own-child;White;Male
7238;Private;Some-college;Never-married;Adm-clerical;Not-in-family;White;Female
7239;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;Other;Female
7240;Private;Assoc-voc;Married-civ-spouse;Other-service;Wife;Black;Female
7241;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7242;Private;HS-grad;Separated;Handlers-cleaners;Other-relative;White;Female
7243;Private;Bachelors;Never-married;Tech-support;Own-child;White;Male
7244;Local-gov;Bachelors;Never-married;Adm-clerical;Not-in-family;Black;Female
7245;Federal-gov;HS-grad;Never-married;Adm-clerical;Other-relative;White;Male
7246;Federal-gov;Some-college;Never-married;Other-service;Own-child;White;Male
7247;Private;Bachelors;Married-civ-spouse;Transport-moving;Husband;White;Male
7248;Private;HS-grad;Divorced;Farming-fishing;Unmarried;White;Male
7249;Private;Assoc-voc;Married-civ-spouse;Exec-managerial;Husband;Black;Male
7250;Private;Some-college;Married-civ-spouse;Protective-serv;Husband;Black;Male
7251;Private;Some-college;Divorced;Craft-repair;Not-in-family;White;Female
7252;Private;11th;Never-married;Handlers-cleaners;Own-child;White;Male
7253;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male
7254;Private;Bachelors;Married-civ-spouse;Adm-clerical;Husband;White;Male
7255;Private;11th;Married-civ-spouse;Machine-op-inspct;Wife;White;Female
7256;State-gov;HS-grad;Never-married;Tech-support;Own-child;White;Male
7257;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female
7258;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7259;State-gov;Prof-school;Married-civ-spouse;Prof-specialty;Husband;Asian-Pac-Islander;Male
7260;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
7261;Private;Some-college;Never-married;Sales;Own-child;White;Female
7262;Private;Assoc-acdm;Married-civ-spouse;Sales;Husband;White;Male
7263;Private;HS-grad;Never-married;Sales;Not-in-family;White;Female
7264;Federal-gov;Assoc-acdm;Married-civ-spouse;Exec-managerial;Husband;White;Male
7265;Private;HS-grad;Divorced;Craft-repair;Not-in-family;Black;Male
7266;Private;Some-college;Married-civ-spouse;Prof-specialty;Husband;White;Male
7267;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
7268;Private;10th;Separated;Sales;Unmarried;White;Female
7269;Private;Some-college;Divorced;Craft-repair;Not-in-family;White;Male
7270;Private;Prof-school;Never-married;Prof-specialty;Not-in-family;White;Female
7271;Private;Some-college;Never-married;Other-service;Not-in-family;White;Female
7272;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male
7273;Local-gov;Bachelors;Married-civ-spouse;Protective-serv;Husband;Black;Male
7274;Private;HS-grad;Separated;Machine-op-inspct;Own-child;White;Female
7275;Self-emp-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
7276;State-gov;Doctorate;Never-married;Exec-managerial;Not-in-family;White;Female
7277;Private;HS-grad;Never-married;Exec-managerial;Not-in-family;White;Male
7278;Local-gov;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7279;Private;Doctorate;Married-civ-spouse;Prof-specialty;Wife;White;Female
7280;Private;HS-grad;Married-spouse-absent;Sales;Not-in-family;Black;Female
7281;Federal-gov;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male
7282;Private;HS-grad;Never-married;Sales;Not-in-family;White;Female
7283;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male
7284;Self-emp-inc;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
7285;Federal-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female
7286;State-gov;Masters;Married-civ-spouse;Prof-specialty;Husband;Asian-Pac-Islander;Male
7287;Self-emp-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
7288;Private;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male
7289;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
7290;Local-gov;Some-college;Never-married;Adm-clerical;Other-relative;Black;Male
7291;State-gov;Bachelors;Married-civ-spouse;Exec-managerial;Wife;White;Female
7292;?;HS-grad;Never-married;?;Own-child;White;Male
7293;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male
7294;Private;11th;Never-married;Other-service;Not-in-family;White;Female
7295;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
7296;Private;Assoc-acdm;Never-married;Adm-clerical;Own-child;White;Male
7297;State-gov;Doctorate;Married-civ-spouse;Exec-managerial;Husband;White;Male
7298;Private;HS-grad;Married-civ-spouse;Prof-specialty;Husband;White;Male
7299;Self-emp-not-inc;Some-college;Never-married;Other-service;Own-child;White;Male
7300;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7301;Private;1st-4th;Separated;Prof-specialty;Unmarried;Black;Female
7302;?;HS-grad;Married-civ-spouse;?;Wife;White;Female
7303;Private;HS-grad;Never-married;Transport-moving;Own-child;White;Male
7304;Private;Bachelors;Never-married;Tech-support;Not-in-family;White;Male
7305;Private;Bachelors;Married-civ-spouse;Prof-specialty;Wife;White;Female
7306;Private;Assoc-voc;Married-civ-spouse;Exec-managerial;Wife;White;Female
7307;Local-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
7308;Private;Bachelors;Never-married;Craft-repair;Own-child;White;Male
7309;Private;7th-8th;Never-married;Machine-op-inspct;Other-relative;White;Female
7310;Private;HS-grad;Married-civ-spouse;Exec-managerial;Other-relative;White;Male
7311;Private;HS-grad;Married-civ-spouse;Other-service;Wife;Asian-Pac-Islander;Female
7312;Private;HS-grad;Divorced;Machine-op-inspct;Not-in-family;White;Female
7313;Local-gov;11th;Married-civ-spouse;Transport-moving;Husband;White;Male
7314;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female
7315;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male
7316;Private;HS-grad;Never-married;Priv-house-serv;Other-relative;White;Female
7317;Private;Some-college;Never-married;Adm-clerical;Not-in-family;White;Male
7318;Self-emp-inc;Masters;Married-civ-spouse;Sales;Husband;White;Male
7319;Private;HS-grad;Divorced;Sales;Unmarried;White;Female
7320;Private;1st-4th;Separated;Machine-op-inspct;Own-child;White;Female
7321;State-gov;Doctorate;Married-civ-spouse;Prof-specialty;Husband;Asian-Pac-Islander;Male
7322;Private;7th-8th;Never-married;Machine-op-inspct;Other-relative;White;Male
7323;?;Some-college;Never-married;?;Other-relative;White;Female
7324;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male
7325;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
7326;State-gov;Some-college;Never-married;Other-service;Not-in-family;Asian-Pac-Islander;Male
7327;State-gov;Assoc-acdm;Divorced;Protective-serv;Not-in-family;Black;Male
7328;State-gov;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male
7329;Private;7th-8th;Divorced;Machine-op-inspct;Not-in-family;Black;Female
7330;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female
7331;State-gov;Masters;Married-civ-spouse;Protective-serv;Husband;Black;Male
7332;Private;HS-grad;Divorced;Handlers-cleaners;Not-in-family;White;Male
7333;Self-emp-not-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;Black;Male
7334;Private;Some-college;Never-married;Sales;Own-child;White;Female
7335;Private;10th;Married-civ-spouse;Craft-repair;Husband;Black;Male
7336;Private;Assoc-voc;Divorced;Craft-repair;Unmarried;White;Female
7337;Private;Some-college;Married-civ-spouse;Sales;Wife;White;Female
7338;Self-emp-not-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
7339;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male
7340;Self-emp-not-inc;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
7341;?;Some-college;Never-married;?;Own-child;White;Male
7342;Local-gov;Some-college;Married-civ-spouse;Protective-serv;Husband;White;Male
7343;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
7344;Private;10th;Married-civ-spouse;Transport-moving;Husband;White;Male
7345;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Husband;Black;Male
7346;Private;Some-college;Never-married;Machine-op-inspct;Not-in-family;Asian-Pac-Islander;Female
7347;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7348;Local-gov;Bachelors;Divorced;Adm-clerical;Not-in-family;White;Female
7349;State-gov;Some-college;Married-civ-spouse;Other-service;Wife;White;Female
7350;Private;Bachelors;Divorced;Adm-clerical;Not-in-family;White;Male
7351;Local-gov;Some-college;Divorced;Protective-serv;Unmarried;White;Male
7352;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Male
7353;?;Some-college;Never-married;?;Own-child;White;Male
7354;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male
7355;Private;Assoc-acdm;Married-civ-spouse;Adm-clerical;Husband;White;Male
7356;Self-emp-inc;Some-college;Married-civ-spouse;Transport-moving;Husband;White;Male
7357;Local-gov;Assoc-acdm;Divorced;Tech-support;Not-in-family;Black;Male
7358;Private;10th;Married-civ-spouse;Craft-repair;Husband;White;Male
7359;Private;Bachelors;Never-married;Adm-clerical;Own-child;White;Female
7360;Local-gov;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male
7361;Private;11th;Never-married;Handlers-cleaners;Own-child;White;Male
7362;Private;12th;Married-civ-spouse;Other-service;Wife;White;Female
7363;Private;Some-college;Married-civ-spouse;Exec-managerial;Wife;White;Female
7364;Private;10th;Separated;Other-service;Unmarried;White;Female
7365;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Male
7366;Self-emp-not-inc;11th;Never-married;Sales;Own-child;White;Male
7367;Private;7th-8th;Never-married;Transport-moving;Unmarried;White;Male
7368;Federal-gov;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male
7369;Self-emp-not-inc;Some-college;Married-civ-spouse;Other-service;Wife;White;Female
7370;Private;Some-college;Married-civ-spouse;Transport-moving;Husband;White;Male
7371;Private;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Male
7372;Self-emp-not-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
7373;Private;Some-college;Married-civ-spouse;Protective-serv;Husband;White;Male
7374;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male
7375;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7376;Local-gov;HS-grad;Never-married;Protective-serv;Own-child;Amer-Indian-Eskimo;Male
7377;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
7378;Private;Some-college;Divorced;Other-service;Not-in-family;White;Female
7379;Private;Some-college;Divorced;Other-service;Own-child;White;Female
7380;Federal-gov;HS-grad;Married-civ-spouse;Tech-support;Husband;White;Male
7381;Local-gov;Some-college;Married-civ-spouse;Protective-serv;Husband;White;Male
7382;Private;Some-college;Never-married;Prof-specialty;Unmarried;White;Female
7383;Private;Some-college;Never-married;Machine-op-inspct;Unmarried;White;Male
7384;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
7385;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;White;Male
7386;Private;Bachelors;Never-married;Farming-fishing;Own-child;White;Male
7387;Private;Some-college;Divorced;Other-service;Unmarried;White;Female
7388;Private;HS-grad;Married-civ-spouse;Farming-fishing;Wife;White;Female
7389;Private;Some-college;Widowed;Adm-clerical;Not-in-family;White;Female
7390;Private;Bachelors;Married-civ-spouse;Craft-repair;Husband;White;Male
7391;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;Black;Male
7392;Private;Assoc-voc;Married-civ-spouse;Sales;Husband;White;Male
7393;Private;Some-college;Divorced;Prof-specialty;Not-in-family;White;Male
7394;Private;Assoc-acdm;Married-civ-spouse;Sales;Husband;White;Male
7395;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7396;Self-emp-not-inc;10th;Divorced;Craft-repair;Not-in-family;White;Male
7397;Private;Some-college;Never-married;Craft-repair;Not-in-family;White;Male
7398;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Male
7399;Private;Some-college;Married-civ-spouse;Prof-specialty;Husband;White;Male
7400;Local-gov;Masters;Never-married;Prof-specialty;Not-in-family;White;Male
7401;Private;HS-grad;Divorced;Other-service;Unmarried;White;Female
7402;Self-emp-inc;Some-college;Married-civ-spouse;Sales;Wife;White;Female
7403;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;Sales;Husband;White;Male
7404;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male
7405;Self-emp-inc;HS-grad;Never-married;Other-service;Not-in-family;Black;Male
7406;Private;Assoc-acdm;Divorced;Adm-clerical;Unmarried;White;Female
7407;Private;HS-grad;Never-married;Adm-clerical;Own-child;White;Female
7408;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7409;Private;Some-college;Divorced;Exec-managerial;Unmarried;White;Female
7410;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
7411;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male
7412;Private;Bachelors;Never-married;Tech-support;Own-child;Black;Male
7413;Private;Some-college;Never-married;Other-service;Own-child;White;Male
7414;Self-emp-not-inc;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male
7415;Private;Some-college;Never-married;Sales;Not-in-family;White;Female
7416;Private;Some-college;Never-married;Handlers-cleaners;Not-in-family;White;Male
7417;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
7418;Private;Bachelors;Never-married;Adm-clerical;Not-in-family;White;Female
7419;Self-emp-inc;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male
7420;Private;Some-college;Never-married;Sales;Own-child;White;Female
7421;Private;Some-college;Married-civ-spouse;Other-service;Husband;White;Male
7422;State-gov;Bachelors;Never-married;Adm-clerical;Own-child;White;Female
7423;Private;HS-grad;Never-married;Adm-clerical;Own-child;White;Male
7424;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
7425;Private;9th;Married-civ-spouse;Craft-repair;Husband;White;Male
7426;Private;Assoc-acdm;Separated;Other-service;Unmarried;White;Female
7427;Self-emp-not-inc;Some-college;Widowed;Farming-fishing;Unmarried;White;Female
7428;Private;Some-college;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
7429;Private;HS-grad;Married-civ-spouse;Other-service;Husband;Black;Male
7430;Self-emp-not-inc;Masters;Never-married;Prof-specialty;Own-child;White;Male
7431;Private;10th;Never-married;Handlers-cleaners;Not-in-family;White;Male
7432;Private;HS-grad;Divorced;Tech-support;Not-in-family;White;Female
7433;Private;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male
7434;Local-gov;Some-college;Married-spouse-absent;Adm-clerical;Own-child;White;Female
7435;Private;Bachelors;Married-civ-spouse;Adm-clerical;Wife;Black;Female
7436;Private;HS-grad;Never-married;Other-service;Own-child;Asian-Pac-Islander;Male
7437;Private;Some-college;Never-married;Adm-clerical;Own-child;Black;Female
7438;?;HS-grad;Never-married;?;Own-child;White;Male
7439;Private;5th-6th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
7440;Local-gov;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Female
7441;Local-gov;11th;Married-civ-spouse;Other-service;Husband;White;Male
7442;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
7443;Private;Assoc-acdm;Never-married;Craft-repair;Not-in-family;White;Male
7444;Private;Assoc-acdm;Never-married;Exec-managerial;Own-child;Black;Female
7445;Private;HS-grad;Divorced;Sales;Not-in-family;White;Female
7446;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7447;Private;HS-grad;Divorced;Exec-managerial;Unmarried;White;Female
7448;Self-emp-not-inc;HS-grad;Married-civ-spouse;Protective-serv;Husband;White;Male
7449;Private;HS-grad;Never-married;Sales;Own-child;White;Female
7450;Private;Some-college;Divorced;Adm-clerical;Unmarried;White;Female
7451;Private;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female
7452;Private;11th;Never-married;Sales;Own-child;White;Female
7453;Private;Assoc-voc;Married-civ-spouse;Exec-managerial;Husband;White;Male
7454;Private;Some-college;Divorced;Sales;Own-child;White;Female
7455;Private;11th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
7456;Private;5th-6th;Married-civ-spouse;Other-service;Husband;White;Male
7457;Private;Bachelors;Married-civ-spouse;Craft-repair;Husband;White;Male
7458;?;HS-grad;Never-married;?;Own-child;White;Female
7459;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Female
7460;Private;HS-grad;Never-married;Adm-clerical;Unmarried;Black;Female
7461;Local-gov;Masters;Married-civ-spouse;Adm-clerical;Husband;White;Male
7462;Federal-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;Asian-Pac-Islander;Male
7463;Local-gov;HS-grad;Married-civ-spouse;Other-service;Wife;White;Female
7464;?;Some-college;Never-married;?;Unmarried;Black;Female
7465;Local-gov;Bachelors;Married-civ-spouse;Protective-serv;Husband;White;Male
7466;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Male
7467;Private;HS-grad;Divorced;Priv-house-serv;Unmarried;White;Female
7468;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male
7469;Private;HS-grad;Married-civ-spouse;Other-service;Wife;White;Female
7470;Private;Some-college;Never-married;Prof-specialty;Own-child;Asian-Pac-Islander;Male
7471;Private;Assoc-voc;Never-married;Prof-specialty;Not-in-family;White;Male
7472;Private;10th;Never-married;Other-service;Not-in-family;White;Female
7473;?;HS-grad;Never-married;?;Other-relative;White;Male
7474;Private;Bachelors;Married-civ-spouse;Adm-clerical;Wife;Black;Female
7475;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Female
7476;Private;HS-grad;Never-married;Other-service;Unmarried;White;Male
7477;Private;12th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
7478;Private;Some-college;Never-married;Adm-clerical;Not-in-family;White;Female
7479;Private;HS-grad;Divorced;Other-service;Not-in-family;White;Female
7480;Self-emp-not-inc;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
7481;Private;10th;Married-civ-spouse;Sales;Husband;White;Male
7482;Private;HS-grad;Widowed;Protective-serv;Not-in-family;White;Male
7483;Private;HS-grad;Separated;Other-service;Not-in-family;White;Female
7484;Private;9th;Never-married;Other-service;Own-child;Black;Male
7485;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
7486;Private;Masters;Married-civ-spouse;Prof-specialty;Wife;White;Female
7487;Local-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female
7488;Private;Assoc-voc;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
7489;Local-gov;Masters;Never-married;Prof-specialty;Not-in-family;White;Female
7490;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
7491;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7492;Private;HS-grad;Married-civ-spouse;Other-service;Wife;White;Female
7493;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male
7494;Self-emp-not-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
7495;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
7496;State-gov;Bachelors;Married-spouse-absent;Adm-clerical;Not-in-family;White;Male
7497;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male
7498;Self-emp-inc;Bachelors;Married-civ-spouse;Sales;Husband;White;Male
7499;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
7500;Private;Some-college;Married-civ-spouse;Adm-clerical;Husband;Black;Male
7501;Self-emp-not-inc;Some-college;Separated;Farming-fishing;Not-in-family;White;Male
7502;Self-emp-not-inc;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
7503;Private;Some-college;Separated;Other-service;Not-in-family;White;Female
7504;Local-gov;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male
7505;Private;10th;Married-civ-spouse;Handlers-cleaners;Wife;White;Female
7506;Private;Assoc-acdm;Never-married;Adm-clerical;Unmarried;Black;Female
7507;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7508;Self-emp-not-inc;Some-college;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male
7509;Private;HS-grad;Separated;Adm-clerical;Not-in-family;White;Male
7510;Private;Some-college;Never-married;Transport-moving;Not-in-family;White;Male
7511;?;HS-grad;Married-civ-spouse;?;Husband;White;Male
7512;Private;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Female
7513;Private;HS-grad;Never-married;Transport-moving;Own-child;Black;Male
7514;Local-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
7515;Private;11th;Never-married;Handlers-cleaners;Not-in-family;White;Male
7516;Private;5th-6th;Married-civ-spouse;Other-service;Husband;White;Male
7517;Federal-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male
7518;Private;Doctorate;Divorced;Sales;Not-in-family;White;Male
7519;Private;Assoc-acdm;Divorced;Craft-repair;Not-in-family;White;Male
7520;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;Amer-Indian-Eskimo;Female
7521;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Male
7522;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;Amer-Indian-Eskimo;Male
7523;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
7524;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7525;Private;HS-grad;Widowed;Machine-op-inspct;Unmarried;Black;Female
7526;Private;11th;Widowed;Other-service;Not-in-family;White;Female
7527;Self-emp-not-inc;10th;Married-civ-spouse;Craft-repair;Husband;White;Male
7528;Private;Some-college;Married-civ-spouse;Farming-fishing;Husband;White;Male
7529;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female
7530;Private;HS-grad;Married-civ-spouse;Tech-support;Husband;Asian-Pac-Islander;Male
7531;Private;Some-college;Married-civ-spouse;Exec-managerial;Wife;White;Female
7532;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
7533;Local-gov;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male
7534;Private;HS-grad;Never-married;Exec-managerial;Not-in-family;White;Male
7535;Federal-gov;Assoc-acdm;Married-civ-spouse;Tech-support;Husband;White;Male
7536;Private;Bachelors;Divorced;Adm-clerical;Unmarried;White;Female
7537;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7538;Private;Some-college;Never-married;Adm-clerical;Not-in-family;White;Female
7539;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
7540;Private;12th;Never-married;Sales;Not-in-family;White;Male
7541;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;Protective-serv;Husband;White;Male
7542;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7543;Private;11th;Never-married;Handlers-cleaners;Not-in-family;White;Male
7544;Local-gov;Masters;Divorced;Prof-specialty;Unmarried;White;Female
7545;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Male
7546;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male
7547;Private;Some-college;Divorced;Exec-managerial;Not-in-family;White;Female
7548;Private;11th;Married-civ-spouse;Sales;Other-relative;White;Female
7549;Private;HS-grad;Never-married;Other-service;Own-child;White;Male
7550;Local-gov;HS-grad;Never-married;Other-service;Own-child;Black;Male
7551;Private;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female
7552;State-gov;Some-college;Never-married;Exec-managerial;Not-in-family;White;Female
7553;Private;Bachelors;Separated;Exec-managerial;Unmarried;White;Female
7554;Self-emp-not-inc;Some-college;Married-civ-spouse;Sales;Husband;White;Male
7555;?;HS-grad;Married-civ-spouse;?;Husband;White;Male
7556;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male
7557;Self-emp-inc;Bachelors;Divorced;Exec-managerial;Not-in-family;White;Male
7558;Self-emp-not-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
7559;Self-emp-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
7560;?;Bachelors;Married-civ-spouse;?;Husband;White;Male
7561;?;Some-college;Never-married;?;Own-child;White;Female
7562;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male
7563;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female
7564;Private;Some-college;Divorced;Sales;Unmarried;White;Female
7565;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
7566;Private;HS-grad;Never-married;Transport-moving;Unmarried;Black;Male
7567;Private;Assoc-voc;Married-civ-spouse;Sales;Husband;White;Male
7568;Private;10th;Never-married;Craft-repair;Unmarried;White;Male
7569;Private;Bachelors;Never-married;Tech-support;Not-in-family;White;Female
7570;Private;11th;Never-married;Other-service;Other-relative;White;Female
7571;Private;HS-grad;Divorced;Farming-fishing;Not-in-family;White;Male
7572;Private;Bachelors;Divorced;Exec-managerial;Not-in-family;White;Male
7573;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
7574;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
7575;State-gov;Some-college;Never-married;Adm-clerical;Own-child;White;Female
7576;Self-emp-not-inc;Assoc-voc;Married-civ-spouse;Prof-specialty;Husband;White;Male
7577;?;Bachelors;Never-married;?;Own-child;White;Female
7578;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
7579;Private;Assoc-voc;Divorced;Adm-clerical;Unmarried;White;Female
7580;?;Bachelors;Married-civ-spouse;?;Wife;White;Female
7581;Private;HS-grad;Never-married;Handlers-cleaners;Own-child;White;Male
7582;Private;HS-grad;Separated;Machine-op-inspct;Own-child;Black;Female
7583;Self-emp-not-inc;HS-grad;Separated;Sales;Not-in-family;White;Male
7584;Private;Some-college;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male
7585;?;HS-grad;Never-married;?;Other-relative;Black;Male
7586;Private;HS-grad;Never-married;Adm-clerical;Own-child;White;Female
7587;Private;11th;Never-married;Adm-clerical;Own-child;Black;Male
7588;Private;HS-grad;Never-married;Sales;Not-in-family;White;Male
7589;Self-emp-not-inc;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Female
7590;Local-gov;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Female
7591;Private;7th-8th;Married-civ-spouse;Machine-op-inspct;Wife;White;Female
7592;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
7593;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male
7594;State-gov;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Female
7595;Private;11th;Married-civ-spouse;Craft-repair;Husband;White;Male
7596;Private;Some-college;Never-married;Tech-support;Not-in-family;White;Female
7597;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Male
7598;State-gov;Some-college;Never-married;Prof-specialty;Not-in-family;Black;Female
7599;Private;HS-grad;Married-civ-spouse;Other-service;Own-child;White;Female
7600;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male
7601;Private;HS-grad;Married-civ-spouse;Transport-moving;Own-child;Other;Male
7602;Private;Some-college;Never-married;Prof-specialty;Not-in-family;White;Male
7603;Self-emp-inc;HS-grad;Divorced;Sales;Not-in-family;White;Male
7604;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male
